condition,time,mean,sem
hetero-high,0,68.34187946,5.732503708695106
hetero-high,6,72.7513346,6.000442491835372
hetero-high,12,77.67135508606673,6.407185184707401
hetero-high,18,82.37050894,6.730730503344208
hetero-high,24,88.62866129268821,7.244325436
hetero-high,30,96.35778853697197,7.856288197032372
hetero-high,36,105.2201650334296,8.663269555680156
hetero-high,42,113.00747424396131,9.199853308524581
hetero-high,48,123.72998073143307,10.014551843993031
hetero-high,54,137.8034639518296,10.891061771153506
hetero-high,60,160.7946774648635,11.962977221494208
hetero-high,69,170.3196116495202,13.35720926
hetero-high,75,184.99583186627441,14.744888961730675
hetero-high,81,203.28838138339952,16.26200591297054
hetero-high,87,219.9301988947097,17.193885203134293
hetero-high,93,238.24748594227086,17.90944098
hetero-high,99,259.7482290832114,19.921339240177772
hetero-high,105,283.4060259647123,21.37587079138094
hetero-high,111,304.22136872364473,22.91286638996887
hetero-high,117,327.55861811276316,24.32017357340236
hetero-high,123,355.28987073079844,26.525903088965745
hetero-high,129,393.6825666288871,28.578326326726806
hetero-high,135,411.65682020902733,30.040361420990855
hetero-high,141,454.3523784110447,28.450978301979063
hetero-high,147,473.11982415516013,35.42278357962036
hetero-high,153,512.1179048003967,42.211443290389724
hetero-high,159,540.8039535,41.11083950582007
hetero-low,0,68.90477478,6.524599225920425
hetero-low,6,72.83113575274352,7.097402341367914
hetero-low,12,77.25862788462703,7.608196858473817
hetero-low,18,80.71878271973365,8.063369545105031
hetero-low,24,84.80898636293898,8.612643796245814
hetero-low,30,89.92815492537014,9.361508940967115
hetero-low,36,95.72202787867013,10.259966966719615
hetero-low,42,100.20402551126445,10.83857400570819
hetero-low,48,106.69160463033795,11.776853721858602
hetero-low,54,114.93348601110768,12.758320693052742
hetero-low,60,127.51572255457477,13.70714477995279
hetero-low,69,133.45973951092986,15.16815518681415
hetero-low,75,141.4438306229045,16.38572797416201
hetero-low,81,150.75308444063202,17.397341793416686
hetero-low,87,159.89716625073112,18.848177892609925
hetero-low,93,167.05273168317476,19.108230765139933
hetero-low,99,177.4435533615783,20.00772860795041
hetero-low,105,186.61479052688532,20.515759987348645
hetero-low,111,193.49600353297978,20.38257136204391
hetero-low,117,201.5595053583198,20.917869750191795
hetero-low,123,211.36298345679728,21.086845300160405
hetero-low,129,219.7595053921199,20.995803785896452
hetero-low,135,227.4858949228444,21.45292161383099
hetero-low,141,254.11962843306688,24.05064083191775
hetero-low,147,264.77203814788373,24.020052968687306
hetero-low,153,256.9689720617664,24.817776037983833
hetero-low,159,272.5921805562907,24.97155911863851
homo-high,0,61.49529249031047,5.056607713
homo-high,6,65.34532600588119,5.549215515880512
homo-high,12,69.51708956583842,5.916024914396705
homo-high,18,73.26555786104338,6.198802167820906
homo-high,24,78.15342300925472,6.6226116743466275